antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Lime Sparkling Water'}),frozenset({'Sparkling Water Grapefruit'}),0.018397458697705222,0.029337814136607264,0.005224878270148284,0.28400000000000003,9.680339464882945,1.0,0.004685137046289099,1.355673443943286,0.9135039894635013,0.12290825158684361,0.26235923225635266,0.23104682274247493
frozenset({'Sparkling Water Grapefruit'}),frozenset({'Lime Sparkling Water'}),0.029337814136607264,0.018397458697705222,0.005224878270148284,0.17809364548494983,9.680339464882943,1.0,0.004685137046289099,1.194299734890686,0.9238001135787064,0.12290825158684361,0.16268925564860012,0.23104682274247493
frozenset({'Limes'}),frozenset({'Organic Cilantro'}),0.05191762844492414,0.026897084616045036,0.006647615076104154,0.12804157807701394,4.760425893913898,1.0,0.005251182230756643,1.1159969224655326,0.8331921206016717,0.09211420802175391,0.10394018131274486,0.18759580043841578
frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.026897084616045036,0.05191762844492414,0.006647615076104154,0.2471500227998176,4.760425893913897,1.0,0.005251182230756643,1.2593244341733987,0.8117689806214926,0.09211420802175391,0.20592345160333153,0.18759580043841578
frozenset({'Organic Garlic'}),frozenset({'Organic Yellow Onion'}),0.04071970858425423,0.04280475390332749,0.008229796524106804,0.20210843373493978,4.721635222839783,1.0,0.00648679941914259,1.1996558010724625,0.821667008409894,0.10930118911874898,0.16642757105327632,0.19718602202506302
frozenset({'Organic Yellow Onion'}),frozenset({'Organic Garlic'}),0.04280475390332749,0.04071970858425423,0.008229796524106804,0.19226361031518624,4.721635222839783,1.0,0.00648679941914259,1.1876155434696534,0.8234568344215758,0.10930118911874898,0.1579766655137647,0.19718602202506302
frozenset({'Large Lemon'}),frozenset({'Limes'}),0.05792746495284118,0.05191762844492414,0.01047428648522684,0.18081727715435106,3.482772279287906,1.0,0.007466829883048868,1.1573515225780882,0.7567065025869059,0.10540607257467292,0.1359582801840324,0.191282723150764
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.05191762844492414,0.05792746495284118,0.01047428648522684,0.20174816914717694,3.4827722792879054,1.0,0.007466829883048868,1.180169588888613,0.7519097860763291,0.10540607257467292,0.15266415147867177,0.191282723150764
frozenset({'Organic Lemon'}),frozenset({'Organic Hass Avocado'}),0.0340475635632198,0.08194228103957907,0.00836471122122331,0.24567723342939485,2.99817420643599,1.0,0.00557477619901302,1.2170621909427548,0.6899549626217649,0.07772079772079772,0.17834930092981952,0.17387888014831515
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Lemon'}),0.08194228103957907,0.0340475635632198,0.00836471122122331,0.10208052686723545,2.99817420643599,1.0,0.00557477619901302,1.0757673325277761,0.7259496471864793,0.07772079772079772,0.07043096609909351,0.17387888014831515
